360	64C	3.4	64
361	64C	3.5	64
362	64C	3.6	64
363	64C	3.7	64
364	64C	3.8	64
365	64C	4.1	64
366	64C	4.1	64
367	64C	4.2	64
368	64C	4.3	64
369	64C	4.4	64
370	64C	4.5	64
371	64C	4.6	64
372	64C	4.7	64
373	64C	4.8	64
374	64C	4.9	64
375	64C	4.10	64
376	64C	4.11	64
377	64C	4.12	64
378	64C	4.13	64
379	64C	4.14	64
380	64C	4.15	64
381	64C	4.16	64
382	64C	4.17	64
383	64C	4.18	64
384	64C	4.19	64
385	64C	4.20	64
386	64C	4.21	64
387	64C	4.22	64
388	64C	4.23	64
389	64C	4.24	64
390	64C	4.25	64
391	64C	4.26	64
392	64C	4.27	64
393	64C	4.28	64
394	64C	4.29	64
395	64C	4.30	64
396	64C	4.31	64
397	64C	4.32	64
398	64C	4.33	64
399	64C	4.34	64
400	64C	4.35	64
401	64C	4.36	64
402	64C	4.37	64
403	64C	4.38	64
404	64C	4.39	64
405	64C	5.1	64
406	64C	5.2	64
407	64C	5.3	64
408	64C	5.4	64
409	64C	5.5	64
410	64C	5.6	64
411	64C	5.7	64
412	64C	5.8	64
413	64C	5.9	64
414	64C	5.10	64
415	64C	5.11	64
416	64C	5.12	64
417	64C	5.13	64
418	64C	5.14	64
419	64C	5.15	64
420	64C	5.16	64
421	64C	6.1	64
422	64C	6.2	64
423	64C	6.3	64
424	64C	6.4	64
425	64C	6.5	64
426	64C	6.6	64
427	64C	6.7	64
428	64C	6.8	64
429	64C	7.1	64
430	64C	7.2	64
431	64C	7.3	64
432	64C	7.4	64
433	64C	7.5	64
434	64C	7.6	64
435	64C	7.7	64
436	64C	7.8	64
437	64C	7.9	64
438	64C	7.10	64
439	64C	7.11	64
440	64C	7.12	64
441	64C	7.13	64
442	64C	7.14	64
